Username,Date,Star Rating,Title,Review Comment,Review Link,User Profile Link
"Southie young adult",15-Apr-2017,5,"Really easy","Really easy to use once you set up your info.","",""
"Probie15",15-Apr-2017,1,"What HAPPENED to service?","While it's nice to be able to order food and have it delivered, when GrubHub expanded their ""service,"" the    s e r v i c e part didn't expand. When you order from a place 2.8 miles from your house, are told it will be delivered in 30-minutes ... but it takes an 1.5 hours, there's something just wrong. Then, when you call in and find out the driver already marked your order as delivered (when no such thing happened) and all GrubHub will do is make excuses ... again, there's something wrong.","",""
"Mattsabath",15-Apr-2017,5,"Works like a charm. So convenient.","Easy to use and super convenient.","",""
"TravGTP",15-Apr-2017,4,"It's cool","Overall a good app. Some issues with restaurants being closed when an order was placed, why list them if they are not open -_- but customer service is legit.","",""
"Raethrchosen1",15-Apr-2017,4,"Bring your favorites to you","If you love to eat it don't always wanna leave the comfort of your home, Grubhub is your fortress. GH is always on time and keeps you up to date on your order. I think there could be more promos like a weekly coupon especially for frequent users. Im thankful for this app!!","",""
"Milyum",15-Apr-2017,5,"Great late night eats","Always get great service.","",""
"KSmack",15-Apr-2017,5,"Love...","Literally love this app. Order from virtually anywhere?!!  Love. Love. Love.","",""
"Tom Casanova",15-Apr-2017,5,"Great app easier to use with each update!","This app is great and it's gotten better over time.","",""
"Shadow 021498",15-Apr-2017,5,"Nice","Love Grubhub.","",""
"carlieee123",15-Apr-2017,5,"Convenient!","Love this app and all the locations I have to choose from. Super convenient but confused who gets the tip that it's making me pay?","",""
"Skap996",15-Apr-2017,5,"Love this app!","I have been using GrubHub for years now and I have absolutely fallen in love with it. I have no complaints about this app and would highly recommend it to everyone!","",""
"Michelle c 10",15-Apr-2017,5,"Great app!","I recently had an issue and the customer service was great! It was the restaurants fault and Grubhub refunded my money. It was easy and quick, something the restaurant couldn't even do, besides never even getting back to me, not even as a courtesy to apologize. Thank you again Grubhub!","",""
"AZslayer",14-Apr-2017,5,"Need more restaurants","Great job can't wait until more restaurants jump on this","",""
"NicoleAnn91",14-Apr-2017,5,"Convenient","Makes it easier to eat out with not be limited to pizza and Chinese!","",""
"BoyMom_ATL",14-Apr-2017,4,"Quick and convenient","I love this app. My food arrives on time 90% of the time. Drivers are always pleasant. I like the convenience of being able to order food for my family when I don't feel like cooking;)","",""
"Kpop girl groups",14-Apr-2017,4,"Promo code","They need to offer more discount to customers. They are too cheap for promo code","",""
"Videogr",14-Apr-2017,1,"Scam","Stay away","",""
"Hubbz127",14-Apr-2017,4,"Great delivery app!","I love GrubHub because it makes it really simple to order and I've always had a great experience. I give it a 4 because if a restaurant is closed you can't view the menu and prepare an order for later when it opens up. Also not a massive fan of the minimum order requirements and all the fees. It would be great to be able to order one or two appetizers without having to add extra food. What would've been a &15 order ends up being &30. Like...why?","",""
"Daulingg",14-Apr-2017,2,"The food is okay, but...","Over priced by a long shot. It's not worth paying a &10+ delivery fee along with a mandatory tip when you can go down the street and pay half. These places can be way more competitive if they came down on the price...as well as wait time. I've waited over 2hours on several occasions.","",""
"Blockchain freedom",14-Apr-2017,1,"Terrible service","Extremely slow at delivery and rude customer service. Would not recommend ordering from them.","",""
"Ebrens",14-Apr-2017,5,"Very convenient","Super easy and many choices, I use it often :)","",""
"Heliving",14-Apr-2017,5,"Great app for food delivery","I use this app often to order home-delivered food from local restaurants. Easy to use. Makes my life easier.","",""
"Lareinn",14-Apr-2017,3,"I would use you if you out more coupons","I use Eat24 app too and I like your restaurants better but Eat continuously sends me coupons via email which persuades my decision. I remember getting coupons upon my first order and I used it for next order but when I tried again for another order it would not accept it. I had 10 cards for discount with the same code. Major bummer.","",""
"mwrlady1",14-Apr-2017,4,"Good and bad take your pick","So love the convenience and the choices...have had issues with places being closed however, when that happens my card gets credited back and most times I receive a discount the next time...all in all my experiences have been very positive and love the fact that when I don't feel like cooking my boyfriend and I can find exactly what we are looking for!","",""
"tat0413",14-Apr-2017,2,"The website was fantastic BEFORE merge w Seamless","Website went from friendly, fun and easy to use to something that is utterly alienating. Looks like a 1st grader designed it on a template and it kept getting more boring until it was finally approved by Donald Trump. Like Coke taking off all of their logos and selling liquid in plain grey aluminum can. So sad.","",""
"Abby5781",13-Apr-2017,4,"Love It","For someone that is on the go and so busy I love this app.  I only wish more restaurants would join or participate.","",""
"LowderBrook",13-Apr-2017,4,"So far so good","I've used Grubhub several times in two different cities and each time the service was very good. I also like it because it works with restaurants that don't normally deliver.","",""
"wrenhunter",13-Apr-2017,5,"Excellent","I use the app several times a week, very handy. I recommend it.","",""
"ChocoBarbie401",13-Apr-2017,5,"Awesome!","This app is so convenient! It allows me to easily place my order thru my phone without having to call. I can choose to have it delivered or picked up. I love it! So easy to order food using this app.","",""
"Dhjxvh",13-Apr-2017,1,"Horrible app never received food","This is by far the worst food delivery service app ever I ordered my food, it never arrived after it was a half our late I called and they said it would be here in 15 minutes. I then called after it didn't show 15 minutes later and asked to have my order cancelled since it was never delivered.  They offered no compensation or free delivery for my troubles never the less I will only order from postmates and uber eats.","",""
"Reviewer9412",13-Apr-2017,5,"Awesome 👏","My favorite app, the delivery people are friendly, and I have never had a complication 😋😊","",""
"Jhjuuhnujb",13-Apr-2017,4,"Rarely offers coupons","Great useful.... Better than yelp but doesn't offer coupons like EAT24","",""
"Juniper Levenheit",13-Apr-2017,5,"App works great","I'm only rating the app, which works smoothly and is easy to use with no bugs. I'm not rating the service itself because that's gonna vary a lot from city to city.","",""
"elake",13-Apr-2017,5,"You're my best friend","Don't know what I'd do without the convenience of Grubhub lol","",""
"P. kizzle",13-Apr-2017,5,"It brings me food","Feeds me","",""
"Azimatic",13-Apr-2017,5,"Use all the time","Don't have to talk on the phone, convenient, easy to use!","",""
"Tra-c sha-vez",13-Apr-2017,1,"Terrible food and   VERY  disappointed","When I got this app I was very excited because the prices were cheaper than most of its competitors, but a couple extra bucks is really worth it in the long run. It was my first time ordering through grub hub , and I ordered sushi with rice and miso soup, by the time I got my food (45 mins later than the delivery service estimated the time to be ) it was cold soggy mushy it smelled of rotten fish and was saturated in lemon juice to keep the avocados from going bad. But besides my critics for the restaurant, the food was all in one side of the Togo box and my soup was just broth with noting in it . Overall definitely the worst service ever and never ever going to reorder with grub hub again!👍","",""
"kitz90",13-Apr-2017,5,"It works well!","I punch in what I want, and it shows up at my door. The app works every single time.","",""
"CunningKaiser",13-Apr-2017,1,"Hate one thing","I don't want to review your app!! Your app constantly asks me if I want to rate and I almost never rate an app. Because of this bothering me, I gave your app 1 star. Hope you're happy, you got your rating from me....","",""
"Shannon Kara",13-Apr-2017,5,"Mmmm","SKATEBOARDS AND MOUNTAIN DEW","",""
"dancer31598",13-Apr-2017,4,"Great!","Grubhub is great if you've already been to the restaurant. If you don't really know the place before...it could be a hit or a miss and more times than not it's a miss.","",""
"NYC2017",12-Apr-2017,5,"Great","Every time I'm living in the city - Grubhub to the rescue and I love it!","",""
"Cover46",12-Apr-2017,5,"Fantastic","Excellent app with great choices and pay with Apple or PayPal what more can you ask for.","",""
"Bradthefoodguy",12-Apr-2017,5,"Great app","Easily one of my most used apps. It's quick, easy and they are very responsive. I just wish they would bring back some of there games. If you get a chance pick a card and win a prize! What's not to love?","",""
"Ggr26",12-Apr-2017,5,"Love it","Great app i don't really like getting dressed to grab something to eat if I'm just hungry and don't plan to cook. This app is great because I can have all that good food come straight to me all I have to do is check their star rating to ensure my food is good. And you can tip and add a coupon online 👍🏾","",""
"thenameshorace",12-Apr-2017,4,"Frequently used, often reliable","I order from Grubhub all the time and I usually use the app. It works flawlessly most of the time, but sometimes I've run into issues with the restaurant receiving the wrong address or the payment not working.","",""
"James B 508",12-Apr-2017,1,"Horrible customer service, high delivery fees","High, ever-increasing delivery fees. No customer service to be spoken of. 

Most recent experience will be my last. Their drivers screwed up my &50 order and 2 hours later I was still on the phone with ""customer service"" who only offered me a &10 voucher for my troubles, the worst part was my kids only received one order and I still hadn't eaten. Terrible accountability on behalf of every part of their operation. 

DO NOT USE THiS APP","",""
"Schmekoman",12-Apr-2017,2,"Ehh","GrubHub is great because it tends to be a little less expensive than its competitors (e.g. Door Dash and Uber Eats) however, that being said, their customer service is sub-par. Actually, it's embarrassingly inadequate. As I recall, I placed an order, and the delivery time kept being pushed back, and not due to the restaurant's incompetency. The driver was so late picking up the order, the store had already closed. Eventually I was able to get things straight with the ""customer service"" department and the food was delivered. As a token of ""I'm sorry"", the delivery guy gave me a &10 coupon to use on my next order. At that point I was pleased. It seemed that GrubHub took the initiative to rectify the situation. The next time I placed an order, I was happy to use this coupon, and to my dismay, the coupon was indeed a &10 discount.... for first time orders only. What am I supposed to do with that? Use it as a napkin? So basically at the end of the day, GrubHub did not rectify anything... which is a disappointment, because the service they offer is of value. It's just too bad that they don't care about their customers.","",""
